Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,,,Term,Roomtype,Instructor,Capacity
Fund of Administration,92999,EAD,601,1,Graduate ,3,,4:30 pm - 10:00 pm,M,Palmyra-Macedon CSD ,Palmyra-Macedon CSD ,,Fall2017,Lecture,Danielle M  Dehm,30
Intro. to Geography,90214,GEG,100,2,Undergraduate ,3,,6:15 pm - 9:00 pm,R,Mahar Hall 309,Mahar Hall ,309,Fall2017,Lecture,Amy   D'Angelo,30
Physical Geology,91750,GEO,100,3,Undergraduate ,3,,9:10 am - 10:05 am,MWF,Marano Campus Center 132,Marano Campus Center ,132,Fall2017,Lecture,Rachel   Lee,30
Physical Geology,91976,GEO,100,4,Undergraduate ,3,,3:00 pm - 3:55 pm,MWF,Shineman Center 170,Shineman Center ,170,Fall2017,Lecture,Allen   Andersen,30
Physical Geology Laboratory,91033,GEO,101,5,Undergraduate ,3,,2:20 pm - 5:20 pm,T,Shineman Center 372,Shineman Center ,372,Fall2017,Laboratory,Rachel   Lee,30
Physical Geology Laboratory,91400,GEO,101,6,Undergraduate ,3,,9:35 am - 12:30 pm,R,Shineman Center 372,Shineman Center ,372,Fall2017,Laboratory,Brian   Hough,30
Environmental Sustainability,90998,GEO,115,7,Undergraduate ,3,,11:30 am - 12:25 pm,MWF,Marano Campus Center 132,Marano Campus Center ,132,Fall2017,Lecture,Justin   Stroup,30
Mineralogy,90416,GEO,310,1,Undergraduate ,3,,12:40 pm - 1:35 pm,MWF,Shineman Center 122,Shineman Center ,122,Fall2017,Lecture,Allen   Andersen,30
Mineralogy Lab,90966,GEO,310,2,Undergraduate ,3,,2:20 pm - 5:20 pm,R,Shineman Center 370,Shineman Center ,370,Fall2017,Laboratory,Allen   Andersen,30
Mineralogy Lab,93188,GEO,310,3,Undergraduate ,3,,9:35 am - 12:15 pm,T,Shineman Center 370,Shineman Center ,370,Fall2017,Laboratory,Allen   Andersen,30
Earth's Fury,91622,GEO,315,4,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",,"100% web, no face to face ",Fall2017,Distance Learning,Kevin John  Finerghty,30
Structural Geology,91977,GEO,330,5,Undergraduate ,3,,8:00 am - 8:55 am,MWF,Shineman Center 370,Shineman Center ,370,Fall2017,Lecture,David   Valentino,30
Structural Geology Lab,91978,GEO,330,6,Undergraduate ,3,,9:35 am - 12:30 pm,R,Shineman Center 370,Shineman Center ,370,Fall2017,Laboratory,David   Valentino,30
STG:Geoscience Research,93682,GEO,390,7,Undergraduate ,3,,10:20 am - 11:15 am,MWF,Shineman Center 377,Shineman Center ,377,Fall2017,Lecture,David   Valentino,30
Stratigraphy,90832,GEO,420,1,Undergraduate ,3,,9:10 am - 10:05 am,MWF,Shineman Center 370,Shineman Center ,370,Fall2017,Lecture,Brian   Hough,30
Stratigraphy Lab,90967,GEO,420,2,Undergraduate ,3,,2:20 pm - 5:20 pm,T,Shineman Center 370,Shineman Center ,370,Fall2017,Laboratory,Brian   Hough,30
Hydrogeology,91973,GEO,430,3,Undergraduate ,3,,1:50 pm - 2:45 pm,MWF,Shineman Center 372,Shineman Center ,372,Fall2017,Lecture,Justin   Stroup,30
Hydrogeology-Lab,92808,GEO,430,4,Undergraduate ,3,,9:35 am - 12:35 pm,T,Shineman Center 372,Shineman Center ,372,Fall2017,Laboratory,Justin   Stroup,30
Volcanology,93676,GEO,435,5,Undergraduate ,3,,11:30 am - 12:25 pm,MWF,Shineman Center 372,Shineman Center ,372,Fall2017,Lecture,Rachel   Lee,30
Elementary German,90292,GER,101,6,Undergraduate ,3,,9:10 am - 10:05 am,MWF,Marano Campus Center 210,Marano Campus Center ,210,Fall2017,Lecture,John F  Lalande,30
Elementary German,90293,GER,101,7,Undergraduate ,3,,12:40 pm - 1:35 pm,MWF,Marano Campus Center 242,Marano Campus Center ,242,Fall2017,Lecture,Johanna M  Henry,30
Elementary German,93543,GER,101,1,Undergraduate ,3,,11:30 am - 12:25 pm,MWF,Marano Campus Center 323,Marano Campus Center ,323,Fall2017,Lecture,Johanna M  Henry,30
Continuing Elementary German,90294,GER,102,2,Undergraduate ,3,,1:50 pm - 2:45 pm,MWF,Marano Campus Center 242,Marano Campus Center ,242,Fall2017,Lecture,Ana   Djukic-Cocks,30
Intermediate German,90295,GER,201,3,Undergraduate ,3,,9:10 am - 10:05 am,MWF,Marano Campus Center 258,Marano Campus Center ,258,Fall2017,Lecture,Ana   Djukic-Cocks,30
German Fairy Tales,93538,GER,204,4,Undergraduate ,3,,1:50 pm - 2:45 pm,MWF,Marano Campus Center 258,Marano Campus Center ,258,Fall2017,Lecture,John F  Lalande,30
Advanced German A,90922,GER,301,5,Undergraduate ,3,,11:30 am - 12:25 pm,MWF,Marano Campus Center 258,Marano Campus Center ,258,Fall2017,Lecture,Ana   Djukic-Cocks,30
Deutsche Marchen,93539,GER,304,6,Undergraduate ,3,,1:50 pm - 2:45 pm,MWF,Marano Campus Center 258,Marano Campus Center ,258,Fall2017,Lecture,John F  Lalande,30
Business German,93540,GER,310,7,Undergraduate ,3,,2:20 pm - 3:40 pm,TR,Marano Campus Center 256,Marano Campus Center ,256,Fall2017,Lecture,Ana   Djukic-Cocks,30
Principles of Accounting I,92624,ACC,201,1,Undergraduate ,3,,1:50 pm - 2:45 pm,MWF,Rich Hall 323,Rich Hall ,323,Fall2017,Lecture,Yi   Liu,30
Principles of Accounting I,92625,ACC,201,2,Undergraduate ,3,,8:00 am - 8:55 am,M,Rich Hall 323,Rich Hall ,323,Fall2017,Laboratory,Spenser J  Iodice,30
Principles of Accounting I,92626,ACC,201,3,Undergraduate ,3,,3:00 pm - 3:55 pm,MWF,Rich Hall 323,Rich Hall ,323,Fall2017,Lecture,Yi   Liu,30
Principles of Accounting I,92627,ACC,201,4,Undergraduate ,3,,8:00 am - 8:55 am,W,Rich Hall 323,Rich Hall ,323,Fall2017,Laboratory,Spenser J  Iodice,30
Principles of Accounting I,92628,ACC,201,5,Undergraduate ,3,,11:30 am - 12:25 pm,MWF,Rich Hall 319,Rich Hall ,319,Fall2017,Lecture,Laura Bea  Lamb,30
Principles of Accounting I,92631,ACC,201,6,Undergraduate ,3,,12:40 pm - 1:35 pm,W,Rich Hall 221,Rich Hall ,221,Fall2017,Laboratory,Celine Qin  Chen,30
Principles of Accounting I,92630,ACC,201,7,Undergraduate ,3,,10:20 am - 11:15 am,MWF,Rich Hall 118,Rich Hall ,118,Fall2017,Lecture,Yi   Liu,30
Principles of Accounting I,92629,ACC,201,1,Undergraduate ,3,,8:00 am - 8:55 am,F,Rich Hall 221,Rich Hall ,221,Fall2017,Laboratory,James D  Smith,30
Principles of Accounting I,92634,ACC,201,2,Undergraduate ,3,,9:35 am - 10:55 am,TR,Rich Hall 223,Rich Hall ,223,Fall2017,Lecture,Victoria   Chiu,30
Principles of Accounting I LAB,92635,ACC,201,3,Undergraduate ,3,,8:25 am - 9:20 am,T,Rich Hall 221,Rich Hall ,221,Fall2017,Laboratory,Elena M  Margrey,30
Principles of Accounting I,92636,ACC,201,4,Undergraduate ,3,,11:10 am - 12:30 pm,TR,Rich Hall 221,Rich Hall ,221,Fall2017,Lecture,Victoria   Chiu,30
Principles of Accounting I LAB,92637,ACC,201,5,Undergraduate ,3,,8:25 am - 9:20 am,R,Rich Hall 221,Rich Hall ,221,Fall2017,Laboratory,Elena M  Margrey,30
Principles of Accounting I,92638,ACC,201,6,Undergraduate ,3,,2:20 pm - 3:40 pm,TR,Rich Hall 324,Rich Hall ,324,Fall2017,Lecture,Victoria   Chiu,30
Principles of Accounting I LAB,92639,ACC,201,7,Undergraduate ,3,,8:25 am - 9:20 am,T,Rich Hall 324,Rich Hall ,324,Fall2017,Laboratory,Qiuting   Gui,30
Principles Of Accounting II,92618,ACC,202,1,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Rich Hall 223,Rich Hall ,223,Fall2017,Lecture,Heather   Losi,30
Principles Accounting II Lab,90979,ACC,202,2,Undergraduate ,3,,8:25 am - 9:20 am,T,Rich Hall 223,Rich Hall ,223,Fall2017,Laboratory,Meg Patrice  O'Brien,30
Principles Of Accounting II,92619,ACC,202,3,Undergraduate ,3,,11:10 am - 12:30 pm,TR,Rich Hall 320,Rich Hall ,320,Fall2017,Lecture,Heather   Losi,30
Principles Accounting II Lab,91190,ACC,202,4,Undergraduate ,3,,8:25 am - 9:20 am,R,Rich Hall 320,Rich Hall ,320,Fall2017,Laboratory,Michael   Chewens,30
Principles Of Accounting II,92620,ACC,202,5,Undergraduate ,3,,2:20 pm - 3:40 pm,TR,Rich Hall 223,Rich Hall ,223,Fall2017,Lecture,Heather   Losi,30
Principles Of Accounting IILab,91310,ACC,202,6,Undergraduate ,3,,8:25 am - 9:20 am,R,Rich Hall 223,Rich Hall ,223,Fall2017,Laboratory,Jessica   Strail,30
