Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,,,Term,Roomtype,Instructor,Capacity
Principles Of Accounting II,92622,ACC,202,7,Undergraduate ,3,,9:10 am - 10:05 am,MWF,Rich Hall 223,Rich Hall ,223,Fall2017,Lecture,Andrea Maria Anastasia  Pagano,30
Principles Of Accounting IILab,91510,ACC,202,1,Undergraduate ,3,,8:00 am - 8:55 am,W,Rich Hall 223,Rich Hall ,223,Fall2017,Laboratory,Reid   Kelly,30
Principles Of Accounting II,92621,ACC,202,2,Undergraduate ,3,,9:35 am - 10:55 am,TR,Rich Hall 320,Rich Hall ,320,Fall2017,Lecture,Heather   Losi,30
Principles Of Accounting IILab,91800,ACC,202,3,Undergraduate ,3,,8:25 am - 9:20 am,T,Rich Hall 320,Rich Hall ,320,Fall2017,Laboratory,Ryan M  Ringwood,30
Intermediate Accounting I,90038,ACC,301,4,Undergraduate ,3,,11:30 am - 12:25 pm,MWF,Rich Hall 221,Rich Hall ,221,Fall2017,Lecture,Andrea Maria Anastasia  Pagano,30
Intermediate Accounting I Lab,90961,ACC,301,5,Undergraduate ,3,,8:00 am - 8:55 am,M,Rich Hall 221,Rich Hall ,221,Fall2017,Laboratory,Reid   Kelly,30
Intermediate Accounting I,90042,ACC,301,6,Undergraduate ,3,,10:20 am - 11:15 am,MWF,Rich Hall 221,Rich Hall ,221,Fall2017,Lecture,Andrea Maria Anastasia  Pagano,30
Intermediate Accounting I Lab,90962,ACC,301,7,Undergraduate ,3,,8:00 am - 8:55 am,W,Rich Hall 221,Rich Hall ,221,Fall2017,Laboratory,Jonathan M  Runge,30
Intermediate Accounting II,90043,ACC,302,1,Undergraduate ,3,,3:00 pm - 3:55 pm,MWF,Rich Hall 221,Rich Hall ,221,Fall2017,Lecture,Laura Bea  Lamb,30
Accounting Information Systems,90553,ACC,305,2,Undergraduate ,3,,3:55 pm - 5:15 pm,TR,Rich Hall 319,Rich Hall ,319,Fall2017,Lecture,Thomas J  Tribunella,30
Accounting Information Systems,91192,ACC,305,3,Undergraduate ,3,,5:30 pm - 6:50 pm,TR,Rich Hall 319,Rich Hall ,319,Fall2017,Lecture,Thomas J  Tribunella,30
Cost Accounting,90050,ACC,310,4,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Rich Hall 323,Rich Hall ,323,Fall2017,Lecture,Susan   Wright,30
Cost Accounting,91184,ACC,310,5,Undergraduate ,3,,3:55 pm - 5:15 pm,TR,Rich Hall 320,Rich Hall ,320,Fall2017,Lecture,Susan   Wright,30
Managerial Accounting,91971,ACC,320,6,Undergraduate ,3,,9:10 am - 10:05 am,MWF,Rich Hall 220,Rich Hall ,220,Fall2017,Lecture,Susan   Wright,30
Acct as Management Tool,93043,ACC,321,7,Undergraduate ,3,,4:35 pm - 5:55 pm,MW,Rich Hall 223,Rich Hall ,223,Fall2017,Lecture,Dean   Crawford,30
Federal Tax Accounting I,90053,ACC,330,1,Undergraduate ,3,,3:55 pm - 5:15 pm,TR,Rich Hall 323,Rich Hall ,323,Fall2017,Lecture,Dean   Crawford,30
Federal Tax Accounting I,90055,ACC,330,2,Undergraduate ,3,,5:30 pm - 6:50 pm,TR,Rich Hall 323,Rich Hall ,323,Fall2017,Lecture,Dean   Crawford,30
Federal Tax Accounting I,90825,ACC,330,3,Undergraduate ,3,,7:05 pm - 8:25 pm,TR,Rich Hall 323,Rich Hall ,323,Fall2017,Lecture,Dean   Crawford,30
Auditing,90942,ACC,430,4,Undergraduate ,3,,1:50 pm - 2:45 pm,MWF,Rich Hall 221,Rich Hall ,221,Fall2017,Lecture,Hema   Rao,30
Content Methods; English,90081,ADO,310,5,Undergraduate ,3,,4:30 pm - 8:30 pm,W,Hewitt Union 228B,Hewitt Union ,228B,Fall2017,Recitation or Discussion,Sharon G  Kane,30
Field Placement III: English,90083,ADO,313,6,Undergraduate ,3,,TBA,TBA,Off Campus ,Off Campus ,,Fall2017,Activity,Sharon G  Kane,30
Content Methds:2nd/ForeignLang,90084,ADO,320,7,Undergraduate ,3,,4:30 pm - 8:30 pm,M,Hewitt Union 228B,Hewitt Union ,228B,Fall2017,Recitation or Discussion,Joanne E.  O'Toole,30
Field Exp III:2nd/Foreign Lang,90086,ADO,323,1,Undergraduate ,3,,TBA,TBA,Off Campus ,Off Campus ,,Fall2017,Activity,Joanne E.  O'Toole,30
Content Methods: Mathematics,90088,ADO,330,2,Undergraduate ,3,,4:10 pm - 8:10 pm,W,Sheldon Hall 328,Sheldon Hall ,328,Fall2017,Recitation or Discussion,Jean E  Hallagan,30
Field Placement III:Mathematic,90090,ADO,333,3,Undergraduate ,3,,TBA,TBA,Off Campus ,Off Campus ,,Fall2017,Activity,Jean E  Hallagan,30
Content Methods: Science,90743,ADO,340,4,Undergraduate ,3,,4:30 pm - 8:30 pm,T,Hewitt Union 228C,Hewitt Union ,228C,Fall2017,Recitation or Discussion,Eric   Olson,30
Field Placement III: Science,90093,ADO,343,5,Undergraduate ,3,,TBA,TBA,Off Campus ,Off Campus ,,Fall2017,Activity,Eric   Olson,30
Content Methods:Social Studies,90095,ADO,350,6,Undergraduate ,3,,4:30 pm - 8:30 pm,W,Sheldon Hall 332,Sheldon Hall ,332,Fall2017,Recitation or Discussion,Ritu   Radhakrishnan,30
Field PlacementIII:Social Stud,90098,ADO,353,7,Undergraduate ,3,,TBA,TBA,Off Campus ,Off Campus ,,Fall2017,Activity,Ritu   Radhakrishnan,30
Content Methods: English,90082,ADO,510,1,Graduate ,3,,4:30 pm - 8:30 pm,W,Hewitt Union 228B,Hewitt Union ,228B,Fall2017,Recitation or Discussion,Sharon G  Kane,30
Field Placement III: English,90101,ADO,513,2,Graduate ,3,,7:00 am - 11:30 am,MTWRF,Off Campus ,Off Campus ,,Fall2017,Activity,Sharon G  Kane,30
Content Methods:2ndForeignLang,90085,ADO,520,3,Graduate ,3,,4:30 pm - 8:30 pm,M,Hewitt Union 228B,Hewitt Union ,228B,Fall2017,Recitation or Discussion,Joanne E.  O'Toole,30
Field Exp III:2nd Foreign Lang,90087,ADO,523,4,Graduate ,3,,7:00 am - 11:30 am,MTWF,Off Campus ,Off Campus ,,Fall2017,Activity,Joanne E.  O'Toole,30
Content Methods: Mathematics,90089,ADO,530,5,Graduate ,3,,4:10 pm - 8:10 pm,W,Sheldon Hall 328,Sheldon Hall ,328,Fall2017,Recitation or Discussion,Jean E  Hallagan,30
Field Placement III: Math,90091,ADO,533,6,Graduate ,3,,7:00 am - 11:30 am,TR,Off Campus ,Off Campus ,,Fall2017,Activity,Jean E  Hallagan,30
Content Methods:Science,90092,ADO,540,7,Graduate ,3,,4:30 pm - 8:30 pm,T,Hewitt Union 228C,Hewitt Union ,228C,Fall2017,Recitation or Discussion,Eric   Olson,30
Field Placement III: Science,90094,ADO,543,1,Graduate ,3,,7:00 am - 11:30 am,TR,Off Campus ,Off Campus ,,Fall2017,Activity,Eric   Olson,30
Content Methods:Social Studies,90096,ADO,550,2,Graduate ,3,,4:30 pm - 8:30 pm,W,Sheldon Hall 332,Sheldon Hall ,332,Fall2017,Recitation or Discussion,Ritu   Radhakrishnan,30
Field Placement III:Soc Studie,90097,ADO,553,3,Graduate ,3,,7:00 am - 11:30 am,MTWRF,Off Campus ,Off Campus ,,Fall2017,Activity,Ritu   Radhakrishnan,30
Field Experience B:Plan/Teach,91470,ADO,593,4,Graduate ,3,,TBA,TBA,Off Campus ,Off Campus ,,Fall2017,Activity,Michael Joseph  Difabio,30
Interdisciplinary Methods,91020,ADO,594,5,Graduate ,3,,4:30 pm - 7:30 pm,R,Sheldon Hall 328,Sheldon Hall ,328,Fall2017,Recitation or Discussion,Michael Joseph  Difabio,30
Interdisciplinary Methods,93858,ADO,594,6,Graduate ,3,,4:30 pm - 7:30 pm,R,Sheldon Hall 337,Sheldon Hall ,337,Fall2017,Recitation or Discussion,Richard   Baier,30
Archaeology & Human Evolution,90190,ANT,111,7,Undergraduate ,3,,9:35 am - 10:55 am,TR,Lanigan Hall 105,Lanigan Hall ,105,Fall2017,Lecture,Alanna E  Ossa,30
Archaeology & Human Evolution,92378,ANT,111,1,Undergraduate ,3,,11:30 am - 12:25 pm,MWF,Mahar Hall 309,Mahar Hall ,309,Fall2017,Lecture,Douglas   Pippin,30
Cultural Anthropology,90192,ANT,112,2,Undergraduate ,3,,11:10 am - 12:30 pm,TR,Lanigan Hall 105,Lanigan Hall ,105,Fall2017,Lecture,Jing   Lei,30
Cultural Anthropology,93536,ANT,112,3,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Lanigan Hall 104,Lanigan Hall ,104,Fall2017,Lecture,Lindsay   Bell,30
History of Ethnological Theory,91026,ANT,210,4,Undergraduate ,3,,9:35 am - 10:55 am,TR,Mahar Hall 103,Mahar Hall ,103,Fall2017,Lecture,Lindsay   Bell,30
Introductory Archaeology,91374,ANT,230,5,Undergraduate ,3,,3:00 pm - 5:45 pm,W,Mahar Hall 309,Mahar Hall ,309,Fall2017,Lecture,Douglas   Pippin,30
Biological Anthropology,90988,ANT,280,6,Undergraduate ,3,,11:30 am - 12:25 pm,MWF,Mahar Hall 307,Mahar Hall ,307,Fall2017,Lecture,Kathleen A  Blake,30
Research Methods,90194,ANT,310,7,Undergraduate ,3,,11:10 am - 12:30 pm,TR,Mahar Hall 309,Mahar Hall ,309,Fall2017,Lecture,Alanna E  Ossa,30
Digging Up the Past,92613,ANT,331,1,Undergraduate ,3,,10:20 am - 11:15 am,MWF,Mahar Hall 309,Mahar Hall ,309,Fall2017,Lecture,Douglas   Pippin,30
Forensic Anthropology,91105,ANT,354,2,Undergraduate ,3,,3:00 pm - 4:20 pm,MW,Mahar Hall 307,Mahar Hall ,307,Fall2017,Lecture,Kathleen A  Blake,30
Medical Anthropology,93537,ANT,355,3,Undergraduate ,3,,3:55 pm - 5:15 pm,TR,Mahar Hall 307,Mahar Hall ,307,Fall2017,Lecture,Lindsay   Bell,30
North American Indians,90836,ANT,375,4,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Mahar Hall 309,Mahar Hall ,309,Fall2017,Lecture,Michael   Taylor,30
Disease & Human Behavior,93545,ANT,383,5,Undergraduate ,3,,9:10 am - 10:05 am,MWF,Mahar Hall 309,Mahar Hall ,309,Fall2017,Lecture,Kathleen A  Blake,30
Advanced Archaeology,93535,ANT,430,6,Undergraduate ,3,,2:20 pm - 3:40 pm,TR,Mahar Hall 307,Mahar Hall ,307,Fall2017,Lecture,Alanna E  Ossa,30
Intro to the Visual Arts,91651,ART,100,7,Undergraduate ,3,,3:00 pm - 4:20 pm,MW,Lanigan Hall 107,Lanigan Hall ,107,Fall2017,Lecture,William   DeMott,30
Intro to the Visual Arts,93297,ART,100,1,Undergraduate ,3,,4:40 pm - 6:00 pm,MW,Mahar Hall 107,Mahar Hall ,107,Fall2017,Lecture,Sara   Prigodich,30
TTMM: Ceramics Non-majors,93588,ART,102,2,Undergraduate ,3,,10:20 am - 12:25 pm,MW,Hewitt Union 1B,Hewitt Union ,1B,Fall2017,Studio,Renqian   Yang,30
TEMM:Photo/InDesign Nonmajors,91934,ART,103,3,Undergraduate ,3,,6:00 pm - 8:00 pm,MW,Tyler Hall 216,Tyler Hall ,216,Fall2017,Studio,Elizabeth Nichole  Hunt,30
Design Concepts I-2D,90268,ART,105,4,Undergraduate ,3,,2:00 pm - 5:00 pm,MW,Hewitt Union 1A,Hewitt Union ,1A,Fall2017,Activity,Mary D.  Pierce,30
Design Concepts I-2D,91212,ART,105,5,Undergraduate ,3,,2:20 pm - 5:15 pm,TR,Hewitt Union 1A,Hewitt Union ,1A,Fall2017,Studio,Richard   Metzgar,30
Design Concepts I-2D,91224,ART,105,6,Undergraduate ,3,,6:00 pm - 9:00 pm,MW,Hewitt Union 1A,Hewitt Union ,1A,Fall2017,Studio,William   DeMott,30
Design Concepts I-2D,90267,ART,105,7,Undergraduate ,3,,9:35 am - 12:30 pm,TR,Hewitt Union 1A,Hewitt Union ,1A,Fall2017,Studio,Mary D.  Pierce,30
Design Concepts II-3D,90269,ART,106,1,Undergraduate ,3,,9:10 am - 12:25 pm,MW,Hewitt Union 7B,Hewitt Union ,7B,Fall2017,Studio,Richard   Metzgar,30
Design Concepts II-3D,91204,ART,106,2,Undergraduate ,3,,2:00 pm - 5:00 pm,MW,Hewitt Union 7B,Hewitt Union ,7B,Fall2017,Studio,Richard   Metzgar,30
Design Concepts II-3D,91657,ART,106,3,Undergraduate ,3,,9:35 am - 12:30 pm,TR,Hewitt Union 7B,Hewitt Union ,7B,Fall2017,Studio,Benjamin R  Entner,30
Gender&Contemp Visual Culture,91936,ART,110,4,Undergraduate ,3,,9:35 am - 10:55 am,TR,Lanigan Hall 102,Lanigan Hall ,102,Fall2017,Lecture,Lisa K  Langlois,30
Digital Media,91200,ART,207,5,Undergraduate ,3,,9:10 am - 12:25 pm,MW,Tyler Hall 217,Tyler Hall ,217,Fall2017,Studio,Justin Anty  Mastrangelo,30
Digital Media,91935,ART,207,6,Undergraduate ,3,,9:35 am - 12:30 pm,TR,Lanigan Hall 34,Lanigan Hall ,34,Fall2017,Studio,Melissa   Martin,30
Typography,91225,ART,209,7,Undergraduate ,3,,9:10 am - 12:25 pm,MW,Lanigan Hall 34,Lanigan Hall ,34,Fall2017,Studio,Keli   DiRisio,30
Typography,91782,ART,209,1,Undergraduate ,3,,6:00 pm - 9:00 pm,MW,Tyler Hall 217,Tyler Hall ,217,Fall2017,Studio,Justin Anty  Mastrangelo,30
Drawing I,90270,ART,210,2,Undergraduate ,3,,6:00 pm - 9:00 pm,MW,Tyler Hall 206,Tyler Hall ,206,Fall2017,Activity,Joseph Mario  Romano,30
Drawing I,91290,ART,210,3,Undergraduate ,3,,2:00 pm - 5:00 pm,MW,Tyler Hall 206,Tyler Hall ,206,Fall2017,Studio,Joseph Mario  Romano,30
Drawing I,91287,ART,210,4,Undergraduate ,3,,2:20 pm - 5:15 pm,TR,Tyler Hall 206,Tyler Hall ,206,Fall2017,Studio,Jason M  Cheney,30
Drawing I,93861,ART,210,5,Undergraduate ,3,,9:10 am - 12:25 pm,MW,Tyler Hall 206,Tyler Hall ,206,Fall2017,Studio,Juan   Perdiguero,30
Drawing I,93883,ART,210,6,Undergraduate ,3,,9:35 am - 12:30 pm,TR,Tyler Hall 214,Tyler Hall ,214,Fall2017,Studio,Sara   Prigodich,30
Painting I,92787,ART,215,7,Undergraduate ,3,,2:00 pm - 5:00 pm,MW,Tyler Hall 205,Tyler Hall ,205,Fall2017,Studio,Christopher   McEvoy,30
Intro to Printmaking,90271,ART,225,1,Undergraduate ,3,,2:20 pm - 5:15 pm,TR,Tyler Hall 200,Tyler Hall ,200,Fall2017,Studio,Mary D.  Pierce,30
Ceramics I,90272,ART,230,2,Undergraduate ,3,,2:00 pm - 5:00 pm,MW,Hewitt Union 1B,Hewitt Union ,1B,Fall2017,Studio,Renqian   Yang,30
Intro to Digital Photography,90273,ART,243,3,Undergraduate ,3,,9:35 am - 12:30 pm,TR,Tyler Hall 216,Tyler Hall ,216,Fall2017,Studio,Peter   Cardone,30
Intro to Digital Photography,90899,ART,243,4,Undergraduate ,3,,2:20 pm - 5:15 pm,TR,Tyler Hall 216,Tyler Hall ,216,Fall2017,Studio,Stephen   Shaner,30
Intro to Digital Photography,91205,ART,243,5,Undergraduate ,3,,6:00 pm - 9:00 pm,TR,Tyler Hall 216,Tyler Hall ,216,Fall2017,Studio,Stephen   Shaner,30
Sculpture I,91768,ART,245,6,Undergraduate ,3,,2:20 pm - 5:15 pm,TR,Hewitt Union 7B,Hewitt Union ,7B,Fall2017,Studio,Benjamin R  Entner,30
West Hert I-Survy Art I,90274,ART,250,7,Undergraduate ,3,,6:00 pm - 7:20 pm,TR,Lanigan Hall 106,Lanigan Hall ,106,Fall2017,Lecture,Benjamin R  Entner,30
West HertII-Survy Art II,91661,ART,251,1,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Lanigan Hall 106,Lanigan Hall ,106,Fall2017,Lecture,Lisa A  Seppi,30
Figure Drawing I,90733,ART,300,2,Undergraduate ,3,,6:00 pm - 9:00 pm,MW,Tyler Hall 201,Tyler Hall ,201,Fall2017,Activity,Juan   Perdiguero,30
Type and Image,91211,ART,307,3,Undergraduate ,3,,2:00 pm - 5:00 pm,MW,Lanigan Hall 34,Lanigan Hall ,34,Fall2017,Studio,Keli   DiRisio,30
Multimedia I,91220,ART,309,4,Undergraduate ,3,,2:00 pm - 5:00 pm,MW,Lanigan Hall 36,Lanigan Hall ,36,Fall2017,Studio,Cara B  Thompson,30
Multimedia I,93589,ART,309,5,Undergraduate ,3,,2:20 pm - 5:15 pm,TR,Lanigan Hall 34,Lanigan Hall ,34,Fall2017,Studio,Cara B  Thompson,30
Intermediate Drawing,90275,ART,310,6,Undergraduate ,3,,2:20 pm - 5:15 pm,TR,Tyler Hall 201,Tyler Hall ,201,Fall2017,Studio,Christopher   McEvoy,30
Intro to Illustration I,93750,ART,312,7,Undergraduate ,3,,6:00 pm - 9:00 pm,TR,Hewitt Union 1A,Hewitt Union ,1A,Fall2017,Studio,Jason M  Cheney,30
Digital Illustration I,91483,ART,313,,Undergraduate ,3,,9:35 am - 12:30 pm,TR,Tyler Hall 217,Tyler Hall ,217,Fall2017,Studio,Amy E.  Bartell,30
Painting II,93583,ART,315,1,Undergraduate ,3,,6:00 pm - 9:00 pm,TR,Tyler Hall 205,Tyler Hall ,205,Fall2017,Studio,Christopher   McEvoy,30
Painting III,93584,ART,316,2,Undergraduate ,3,,6:00 pm - 9:00 pm,TR,Tyler Hall 205,Tyler Hall ,205,Fall2017,Studio,Christopher   McEvoy,30
Web Media I,91214,ART,317,3,Undergraduate ,3,,9:10 am - 11:15 am,MWF,Lanigan Hall 36,Lanigan Hall ,36,Fall2017,Studio,Rebecca Wendy  Mushtare,30
3-D Modeling and Animation,91654,ART,318,4,Undergraduate ,3,,6:00 pm - 9:00 pm,MW,Lanigan Hall 36,Lanigan Hall ,36,Fall2017,Studio,Lisa A.  DuBois,30
Drawing for Transfer Students,91267,ART,322,5,Undergraduate ,3,,2:20 pm - 5:15 pm,TR,Tyler Hall 201,Tyler Hall ,201,Fall2017,Studio,Christopher   McEvoy,30
Drawing for Transfer Students,93884,ART,322,6,Undergraduate ,3,,9:35 am - 12:30 pm,TR,Tyler Hall 214,Tyler Hall ,214,Fall2017,Studio,Sara   Prigodich,30
Digital Media-Transfer Student,91213,ART,323,7,Undergraduate ,3,,2:00 pm - 5:00 pm,MW,Tyler Hall 217,Tyler Hall ,217,Fall2017,Studio,Elizabeth Nichole  Hunt,30
Printmaking-Intaglio,91666,ART,325,1,Undergraduate ,3,,2:20 pm - 5:15 pm,TR,Tyler Hall 200,Tyler Hall ,200,Fall2017,Studio,Mary D.  Pierce,30
