Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,,,Term,Roomtype,Instructor,Capacity
Watercolor Painting II,93041,ART,320,1,Undergraduate ,3,,6:00 pm - 9:00 pm,TR,Tyler Hall 209,Tyler Hall ,201,Fall2016,Studio,Marissa L.  Hill,30
Drawing for Transfer Students,91267,ART,322,2,Undergraduate ,3,,2:00 pm - 5:00 pm,MW,Tyler Hall 201,Lanigan Hall ,34,Fall2016,Studio,Juan   Perdiguero,30
Digital Media-Transfer Student,91213,ART,323,3,Undergraduate ,3,,9:10 am - 12:25 pm,MW,Lanigan Hall 34,Hewitt Union ,1A,Fall2016,Studio,Carla A  Senecal,30
Printmaking-Intaglio,91666,ART,325,4,Undergraduate ,3,,2:00 pm - 5:00 pm,MW,Hewitt Union 1A,Hewitt Union ,1A,Fall2016,Studio,Mary D.  Pierce,30
Screen Printing,90871,ART,326,5,Undergraduate ,3,,9:10 am - 12:25 pm,MW,Hewitt Union 1A,Hewitt Union ,1B,Fall2016,Studio,Justin Anty  Mastrangelo,30
Ceramics II,90829,ART,330,6,Undergraduate ,3,,2:00 pm - 5:00 pm,MW,Hewitt Union 1B,Tyler Hall ,209,Fall2016,Studio,Sara   Prigodich,30
Art Therapy Principles,93044,ART,339,7,Undergraduate ,3,,3:55 pm - 5:15 pm,TR,Tyler Hall 209,Tyler Hall ,216,Fall2016,Studio,Melissa   Cardone,30
Intermediate Digital Photo,91260,ART,343,1,Undergraduate ,3,,2:20 pm - 5:15 pm,TR,Tyler Hall 216,Hewitt Union ,7A,Fall2016,Studio,Julieve   Jubin,30
Sculpture,91767,ART,345,2,Undergraduate ,3,,2:20 pm - 5:15 pm,TR,Hewitt Union 7A,Hewitt Union ,212,Fall2016,Studio,Benjamin R  Entner,30
20th Century Art,90831,ART,353,3,Undergraduate ,3,,12:40 pm - 1:35 pm,MWF,Hewitt Union 212,Lanigan Hall ,105,Fall2016,Lecture,Lisa A  Seppi,30
History of Graphic Design,90554,ART,365,4,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Lanigan Hall 105,Lanigan Hall ,106A,Fall2016,Lecture,Cynthia A  Clabough,30
Chinese Art,92811,ART,368,5,Undergraduate ,3,,9:35 am - 10:55 am,TR,Lanigan Hall 106A,Mahar Hall ,214,Fall2016,Lecture,Lisa K  Langlois,30
Art/Architecture Islam Culture,91662,ART,371,6,Undergraduate ,3,,3:55 pm - 5:15 pm,TR,Mahar Hall 214,Mahar Hall ,214,Fall2016,Lecture,Lisa K  Langlois,30
Intro To Museum Studies,90279,ART,380,7,Undergraduate ,3,,11:10 am - 12:30 pm,TR,Mahar Hall 214,Hewitt Union ,212,Fall2016,Lecture,Michael K.  Flanagan,30
STAH:Modern Art/Mass Culture,92817,ART,391,1,Undergraduate ,3,,9:10 am - 10:05 am,MWF,Hewitt Union 212,Lanigan Hall ,34,Fall2016,Lecture,Lisa A  Seppi,30
Graphic Design Facility Manage,91215,ART,395,2,Undergraduate ,3,,2:00 pm - 5:00 pm,F,Lanigan Hall 34,To Be Announced ,,Fall2016,Studio,Jenilee A.  Ward,30
"Two Dimensional,Experi.Studio",91216,ART,396,3,Undergraduate ,3,,TBA,TBA,To Be Announced ,To Be Announced ,,Fall2016,Studio,Justin Anty  Mastrangelo,30
"Two Dimensional,Experi.Studio",91206,ART,396,4,Undergraduate ,3,,TBA,TBA,To Be Announced ,To Be Announced ,,Fall2016,Studio,Julieve   Jubin,30
"Two Dimensional,Experi.Studio",91387,ART,396,5,Undergraduate ,3,,TBA,TBA,To Be Announced ,To Be Announced ,,Fall2016,Studio,Kelly L  Roe,30
"Two Dimensional,Experi.Studio",91223,ART,396,6,Undergraduate ,3,,TBA,TBA,To Be Announced ,TBA,,Fall2016,Studio,Juan   Perdiguero,30
"Two Dimensional,Experi.Studio",91649,ART,396,7,Undergraduate ,3,,TBA,TBA,TBA,To Be Announced ,,Fall2016,Studio,Cynthia A  Clabough,30
"Two Dimensional,Experi.Studio",91395,ART,396,1,Undergraduate ,3,,TBA,TBA,To Be Announced ,To Be Announced ,,Fall2016,Studio,Carla A  Senecal,30
"Two Dimensional,Experi.Studio",91398,ART,396,2,Undergraduate ,3,,TBA,TBA,To Be Announced ,TBA,,Fall2016,Studio,Cynthia A  Clabough,30
"Two Dimensional,Experi.Studio",91650,ART,396,3,Undergraduate ,3,,TBA,TBA,TBA,TBA,,Fall2016,Studio,Cara B  Thompson,30
"Two Dimensional,Experi.Studio",91592,ART,396,4,Undergraduate ,3,,TBA,TBA,TBA,To Be Announced ,,Fall2016,Studio,Cynthia A  Clabough,30
"Two Dimensional,Experi.Studio",91208,ART,396,5,Undergraduate ,3,,TBA,TBA,To Be Announced ,To Be Announced ,,Fall2016,Studio,Rebecca Wendy  Mushtare,30
"Two Dimensional,Experi.Studio",91804,ART,396,6,Undergraduate ,3,,TBA,TBA,To Be Announced ,To Be Announced ,,Fall2016,Studio,Cara B  Thompson,30
"Two Dimensional,Experi.Studio",91035,ART,396,7,Undergraduate ,3,,TBA,TBA,To Be Announced ,TBA,,Fall2016,Studio,Amy E.  Bartell,30
"Two Dimensional,Experi.Studio",92819,ART,396,1,Undergraduate ,3,,TBA,TBA,TBA,To Be Announced ,,Fall2016,Studio,Cara B  Thompson,30
"Two Dimensional,Experi.Studio",91201,ART,396,2,Undergraduate ,3,,TBA,TBA,To Be Announced ,To Be Announced ,,Fall2016,Studio,Peter   Cardone,30
"Two Dimensional,Experi.Studio",91230,ART,396,3,Undergraduate ,3,,TBA,TBA,To Be Announced ,To Be Announced ,,Fall2016,Studio,Mary D.  Pierce,30
"3 Dimensional,Experi. Studio",91202,ART,397,4,Undergraduate ,3,,TBA,TBA,To Be Announced ,To Be Announced ,,Fall2016,Studio,Lisa A.  DuBois,30
"3 Dimensional,Experi. Studio",91219,ART,397,5,Undergraduate ,3,,TBA,TBA,To Be Announced ,To Be Announced ,,Fall2016,Studio,Benjamin R  Entner,30
"3 Dimensional,Experi. Studio",91228,ART,397,6,Undergraduate ,3,,TBA,TBA,To Be Announced ,Tyler Hall ,201,Fall2016,Studio,Unassigned   Staff,30
Figure Drawing II,91207,ART,400,7,Undergraduate ,3,,6:00 pm - 9:00 pm,MW,Tyler Hall 201,Lanigan Hall ,34,Fall2016,Studio,Juan   Perdiguero,30
Publication Design,91289,ART,408,1,Undergraduate ,3,,2:00 pm - 5:00 pm,MW,Lanigan Hall 34,Lanigan Hall ,36,Fall2016,Studio,Cynthia A  Clabough,30
Multimedia II,91221,ART,409,2,Undergraduate ,3,,2:00 pm - 5:00 pm,MW,Lanigan Hall 36,Tyler Hall ,217,Fall2016,Studio,Cara B  Thompson,30
Digital Illustration II,90280,ART,413,3,Undergraduate ,3,,2:20 pm - 5:15 pm,TR,Tyler Hall 217,Lanigan Hall ,34,Fall2016,Studio,Amy E.  Bartell,30
Graphic/InteractiveDesign Prac,91222,ART,414,4,Undergraduate ,3,,6:00 pm - 9:00 pm,MW,Lanigan Hall 34,Lanigan Hall ,36,Fall2016,Practicum,Cara B  Thompson,30
Web Media II,91393,ART,417,5,Undergraduate ,3,,11:30 am - 1:35 pm,MWF,Lanigan Hall 36,Lanigan Hall ,36,Fall2016,Studio,Rebecca Wendy  Mushtare,30
Adv 3-D Modeling & Animation,91655,ART,418,6,Undergraduate ,3,,6:00 pm - 9:00 pm,MW,Lanigan Hall 36,To Be Announced ,,Fall2016,Studio,Lisa A.  DuBois,30
Studio Management,90882,ART,419,7,Undergraduate ,3,,TBA,TBA,To Be Announced ,Tyler Hall ,205,Fall2016,Activity,Juan   Perdiguero,30
Adv. Drawing and Painting,91511,ART,422,1,Undergraduate ,3,,9:10 am - 12:25 pm,MW,Tyler Hall 205,Tyler Hall ,217,Fall2016,Studio,Juan   Perdiguero,30
Adv. Problems in Illustration,92816,ART,423,2,Undergraduate ,3,,2:20 pm - 5:15 pm,TR,Tyler Hall 217,Hewitt Union ,1A,Fall2016,Studio,Amy E.  Bartell,30
Adv Problems in Printmaking,91652,ART,425,3,Undergraduate ,3,,9:10 am - 12:25 pm,MW,Hewitt Union 1A,Hewitt Union ,1B,Fall2016,Studio,Justin Anty  Mastrangelo,30
Ceramics III,90830,ART,430,4,Undergraduate ,3,,2:00 pm - 5:00 pm,MW,Hewitt Union 1B,Hewitt Union ,1B,Fall2016,Studio,Sara   Prigodich,30
Ceramics IV,90946,ART,431,5,Undergraduate ,3,,2:00 pm - 5:00 pm,MW,Hewitt Union 1B,Tyler Hall ,216,Fall2016,Studio,Sara   Prigodich,30
Advanced Digital Photography,91229,ART,443,6,Undergraduate ,3,,9:35 am - 12:30 pm,TR,Tyler Hall 216,Hewitt Union ,7A,Fall2016,Studio,Julieve   Jubin,30
ProjSt 3D/4D:Sculpture,91769,ART,445,7,Undergraduate ,3,,2:20 pm - 5:15 pm,TR,Hewitt Union 7A,Lanigan Hall ,34,Fall2016,Studio,Benjamin R  Entner,30
Motion Graphics II,92814,ART,451,1,Undergraduate ,3,,2:20 pm - 5:15 pm,TR,Lanigan Hall 34,Lanigan Hall ,34,Fall2016,Studio,Carla A  Senecal,30
BFA Exhibition,91210,ART,492,2,Undergraduate ,3,,5:15 pm - 5:45 pm,MW,Lanigan Hall 34,Lanigan Hall ,36,Fall2016,Activity,Cara B  Thompson,30
GR Studio:3-D Model/Animation,91656,ART,500,3,Graduate ,3,,6:00 pm - 9:00 pm,MW,Lanigan Hall 36,Lanigan Hall ,34,Fall2016,Studio,Lisa A.  DuBois,30
Gr Graphic Design-Publication,91263,ART,508,4,Graduate ,3,,2:00 pm - 5:00 pm,MW,Lanigan Hall 34,Lanigan Hall ,34,Fall2016,Lecture,Cynthia A  Clabough,30
Gr Graphic Design-Type&Image,93189,ART,508,5,Graduate ,3,,9:35 am - 12:30 pm,TR,Lanigan Hall 34,Lanigan Hall ,36,Fall2016,Studio,Carla A  Senecal,30
Graduate Multimedia,91269,ART,509,6,Graduate ,3,,2:00 pm - 5:00 pm,MW,Lanigan Hall 36,Lanigan Hall ,34,Fall2016,Lecture,Cara B  Thompson,30
Gr Multimedia:Motion Graphics,92815,ART,509,7,Graduate ,3,,2:20 pm - 5:15 pm,TR,Lanigan Hall 34,Tyler Hall ,205,Fall2016,Lecture,Carla A  Senecal,30
Graduate Drawing:Advanced,91266,ART,510,1,Graduate ,3,,9:10 am - 12:25 pm,MW,Tyler Hall 205,Tyler Hall ,201,Fall2016,Lecture,Juan   Perdiguero,30
Graduate Drawing: Figure,91397,ART,510,2,Graduate ,3,,6:00 pm - 9:00 pm,MW,Tyler Hall 201,Tyler Hall ,217,Fall2016,Lecture,Juan   Perdiguero,30
Graduate Digital Illustration,91262,ART,513,3,Graduate ,3,,2:20 pm - 5:15 pm,TR,Tyler Hall 217,Lanigan Hall ,34,Fall2016,Lecture,Amy E.  Bartell,30
Grad Prob in Graphic Design,90602,ART,514,4,Graduate ,3,,6:00 pm - 9:00 pm,MW,Lanigan Hall 34,Lanigan Hall ,35,Fall2016,Activity,Cara B  Thompson,30
Grad Prob in Graphic Design,92456,ART,514,5,Graduate ,3,,2:00 pm - 5:00 pm,F,Lanigan Hall 35,Tyler Hall ,209,Fall2016,Activity,Rebecca Wendy  Mushtare,30
Grad Painting:Watercolor,91637,ART,515,6,Graduate ,3,,6:00 pm - 9:00 pm,TR,Tyler Hall 209,Lanigan Hall ,36,Fall2016,Studio,Marissa L.  Hill,30
Graduate Web Design,91394,ART,517,7,Graduate ,3,,11:30 am - 1:35 pm,MWF,Lanigan Hall 36,Lanigan Hall ,36,Fall2016,Lecture,Rebecca Wendy  Mushtare,30
Graduate Web Design,91268,ART,517,1,Graduate ,3,,9:10 am - 11:15 am,MWF,Lanigan Hall 36,TBA,,Fall2016,Lecture,Rebecca Wendy  Mushtare,30
Graduate Critique,92809,ART,519,2,Graduate ,3,,TBA,TBA,TBA,Lanigan Hall ,35,Fall2016,Recitation or Discussion,Cynthia A  Clabough,30
Graduate Critique,91261,ART,519,3,Graduate ,3,,2:00 pm - 5:00 pm,F,Lanigan Hall 35,Lanigan Hall ,34,Fall2016,Recitation or Discussion,Rebecca Wendy  Mushtare,30
Graduate Digital Media,91781,ART,523,4,Graduate ,3,,9:10 am - 12:25 pm,MW,Lanigan Hall 34,Hewitt Union ,1A,Fall2016,Studio,Carla A  Senecal,30
Graduate Printmaking,91667,ART,525,5,Graduate ,3,,2:00 pm - 5:00 pm,MW,Hewitt Union 1A,Hewitt Union ,1A,Fall2016,Studio,Mary D.  Pierce,30
GR. Printmaking:Screenprinting,91653,ART,525,6,Graduate ,3,,9:10 am - 12:25 pm,MW,Hewitt Union 1A,Hewitt Union ,1B,Fall2016,Studio,Justin Anty  Mastrangelo,30
Graduate Ceramics,91264,ART,530,7,Graduate ,3,,2:00 pm - 5:00 pm,MW,Hewitt Union 1B,Tyler Hall ,216,Fall2016,Lecture,Sara   Prigodich,30
Graduate Photography,91302,ART,540,1,Graduate ,3,,9:35 am - 12:30 pm,TR,Tyler Hall 216,Hewitt Union ,7A,Fall2016,Lecture,Julieve   Jubin,30
Graduate Sculpture,91450,ART,545,2,Graduate ,3,,2:20 pm - 5:15 pm,TR,Hewitt Union 7A,Hewitt Union ,212,Fall2016,Studio,Benjamin R  Entner,30
20th Century Art,91795,ART,553,3,Graduate ,3,,12:40 pm - 1:35 pm,MWF,Hewitt Union 212,Lanigan Hall ,105,Fall2016,Lecture,Lisa A  Seppi,30
Grad History Graphic Design,91805,ART,565,4,Graduate ,3,,12:45 pm - 2:05 pm,TR,Lanigan Hall 105,Mahar Hall ,214,Fall2016,Lecture,Cynthia A  Clabough,30
RPAH:Art/Architect Islam Cultu,92812,ART,571,5,Graduate ,3,,3:55 pm - 5:15 pm,TR,Mahar Hall 214,Hewitt Union ,212,Fall2016,Lecture,Lisa K  Langlois,30
RPAH:Modern Art/Mass Culture,91663,ART,571,6,Graduate ,3,,9:10 am - 10:05 am,MWF,Hewitt Union 212,Lanigan Hall ,106A,Fall2016,Lecture,Lisa A  Seppi,30
RPAH: Chinese Art,91660,ART,571,7,Graduate ,3,,9:35 am - 10:55 am,TR,Lanigan Hall 106A,Lanigan Hall ,35,Fall2016,Lecture,Lisa K  Langlois,30
Graduate Art Theory & Practice,90628,ART,572,1,Graduate ,3,,2:00 pm - 5:00 pm,F,Lanigan Hall 35,Marano Campus Center ,208,Fall2016,Activity,Rebecca Wendy  Mushtare,30
American Sign Language I,90288,ASL,101,2,Undergraduate ,3,,5:00 pm - 6:20 pm,TR,Marano Campus Center 208,Shineman Center ,185,Fall2016,Lecture,Laura   Latray-Corey,30
Astronomy,90412,AST,100,3,Undergraduate ,3,,9:10 am - 10:05 am,MWF,Shineman Center 185,Shineman Center ,122,Fall2016,Lecture,Scott   Roby,30
Astronomy,90413,AST,100,4,Undergraduate ,3,,11:30 am - 12:25 pm,MWF,Shineman Center 122,Shineman Center ,172,Fall2016,Lecture,Scott   Roby,30
Astronomy,90414,AST,100,5,Undergraduate ,3,,8:00 am - 9:20 am,TR,Shineman Center 172,Shineman Center ,194,Fall2016,Lecture,Kenneth Eric  Mauser,30
Astronomy,90415,AST,100,6,Undergraduate ,3,,9:35 am - 10:55 am,TR,Shineman Center 194,Shineman Center ,172,Fall2016,Lecture,Kenneth Eric  Mauser,30
Astronomy,92978,AST,100,7,Undergraduate ,3,,2:20 pm - 3:40 pm,TR,Shineman Center 172,Shineman Center ,172,Fall2016,Lecture,John   Zielinski,30
Astronomy,92979,AST,100,1,Undergraduate ,3,,3:55 pm - 5:15 pm,TR,Shineman Center 172,Shineman Center ,170,Fall2016,Lecture,John   Zielinski,30
Topics In Modern Astronomy,92102,AST,310,2,Undergraduate ,3,,8:00 am - 8:55 am,MWF,Shineman Center 170,,"100% web, no face to face ",Fall2016,Lecture,Shashi M  Kanbur,30
Intro to Health Info Systems,92175,BHI,501,3,Graduate ,3,,TBA,TBA,"100% web, no face to face ",,"100% web, no face to face ",Fall2016,Distance Learning,Angelika   Gruessner,30
Health Informatics Methods,92176,BHI,502,4,Graduate ,3,,TBA,TBA,"100% web, no face to face ",,"100% web, no face to face ",Fall2016,Distance Learning,Ioana   Coman,30
eHealth Systems,92177,BHI,503,5,Graduate ,3,,TBA,TBA,"100% web, no face to face ",Shineman Center ,448,Fall2016,Distance Learning,Isabelle   Bichindaritz,30
Database Applications,92181,BHI,508,6,Graduate ,3,,9:35 am - 10:55 am,TR,Shineman Center 448,,"100% web, no face to face ",Fall2016,Lecture,Ioana   Coman,30
Database Applications,91914,BHI,508,7,Graduate ,3,,TBA,TBA,"100% web, no face to face ",TBA,,Fall2016,Distance Learning,Ioana   Coman,30
Project in BHI,92882,BHI,699,1,Graduate ,3,,TBA,TBA,TBA,TBA,,Fall2016,Activity,Isabelle   Bichindaritz,30
Thesis in BHI,92883,BHI,700,2,Graduate ,3,,TBA,TBA,TBA,Park Hall ,313,Fall2016,Activity,Isabelle   Bichindaritz,30
General Biology,90366,BIO,101,3,Undergraduate ,3,,11:10 am - 12:30 pm,TR,Park Hall 313,Shineman Center ,204,Fall2016,Lecture,Michael J  McDonald,30
General Biology Lab,90963,BIO,101,4,Undergraduate ,3,,12:40 pm - 2:45 pm,F,Shineman Center 204,Park Hall ,314,Fall2016,Laboratory,Michael J  McDonald,30
Biology Seminar,90880,BIO,110,5,Undergraduate ,3,,12:40 pm - 1:35 pm,M,Park Hall 314,Park Hall ,314,Fall2016,Seminar,Sofia   Windstam,30
Biology Seminar,90728,BIO,110,6,Undergraduate ,3,,10:20 am - 11:15 am,F,Park Hall 314,Marano Campus Center ,258,Fall2016,Seminar,Sofia   Windstam,30
Biology Seminar,91717,BIO,110,7,Undergraduate ,3,,8:00 am - 8:55 am,W,Marano Campus Center 258,Shineman Center ,178,Fall2016,Seminar,Peter   Newell,30
Biology SeminaR,90729,BIO,110,1,Undergraduate ,3,,12:45 pm - 2:05 pm,R,Shineman Center 178,Park Hall ,314,Fall2016,Seminar,James A  MacKenzie,30
Biology Seminar,92209,BIO,110,2,Undergraduate ,3,,11:10 am - 12:05 pm,T,Park Hall 314,Shineman Center ,178,Fall2016,Seminar,Richard C  Back,30
Biology Seminar,91177,BIO,110,3,Undergraduate ,3,,12:45 pm - 2:05 pm,T,Shineman Center 178,Park Hall ,314,Fall2016,Seminar,James A  MacKenzie,30
Biology Seminar,91175,BIO,110,4,Undergraduate ,3,,11:30 am - 12:25 pm,M,Park Hall 314,Park Hall ,314,Fall2016,Seminar,C. Eric  Hellquist,30
Biology Seminar,90758,BIO,110,5,Undergraduate ,3,,11:30 am - 12:25 pm,F,Park Hall 314,Park Hall ,314,Fall2016,Seminar,Sofia   Windstam,30
Biology Seminar,91709,BIO,110,6,Undergraduate ,3,,11:30 am - 12:25 pm,W,Park Hall 314,Shineman Center ,178,Fall2016,Seminar,Christopher H  Chandler,30
Biology Seminar,91708,BIO,110,7,Undergraduate ,3,,2:20 pm - 3:40 pm,R,Shineman Center 178,Shineman Center ,175,Fall2016,Seminar,James A  MacKenzie,30
Molecular/Cellular Foundations,91136,BIO,120,1,Undergraduate ,3,,11:30 am - 12:25 pm,MWF,Shineman Center 175,Shineman Center ,204,Fall2016,Lecture,Yulia   Artemenko,30
Molecular/Cellular Found Lab,91173,BIO,120,2,Undergraduate ,3,,1:50 pm - 4:50 pm,M,Shineman Center 204,Shineman Center ,204,Fall2016,Laboratory,Yulia   Artemenko,30
Molecular/Cellular Found. Lab,91320,BIO,120,3,Undergraduate ,3,,2:20 pm - 5:20 pm,T,Shineman Center 204,Shineman Center ,204,Fall2016,Laboratory,Yulia   Artemenko,30
Molecular/Cellular FoundaLAB,92763,BIO,120,4,Undergraduate ,3,,1:50 pm - 4:50 pm,W,Shineman Center 204,Shineman Center ,122,Fall2016,Laboratory,Anthony L  Contento,30
Human Biology,90407,BIO,203,5,Undergraduate ,3,,7:00 pm - 8:25 pm,MW,Shineman Center 122,Shineman Center ,172,Fall2016,Lecture,Cleane L  Medeiros,30
Diversity of Life,92958,BIO,220,6,Undergraduate ,3,,9:35 am - 10:55 am,TR,Shineman Center 172,Rich Hall ,320,Fall2016,Lecture,Jennifer C  Olori,30
T: Marine Ecosystems,93290,BIO,301,7,Undergraduate ,3,,9:35 am - 10:55 am,TR,Rich Hall 320,Shineman Center ,178,Fall2016,Lecture,Pamela   Brannock,30
Cellular Physiology,91296,BIO,309,1,Undergraduate ,3,,12:40 pm - 1:35 pm,MWF,Shineman Center 178,Marano Campus Center ,208,Fall2016,Lecture,Anthony L  Contento,30
Cellular Physiology,93289,BIO,309,2,Undergraduate ,3,,10:20 am - 11:15 am,MWF,Marano Campus Center 208,Shineman Center ,174,Fall2016,Lecture,David A  Dunn,30
Microbiology,91557,BIO,310,3,Undergraduate ,3,,9:10 am - 10:05 am,MW,Shineman Center 174,Shineman Center ,212,Fall2016,Lecture,Peter   Newell,30
Microbiology Lab,91558,BIO,310,4,Undergraduate ,3,,1:50 pm - 4:50 pm,M,Shineman Center 212,Shineman Center ,212,Fall2016,Laboratory,Peter   Newell,30
Microbiology Lab,91559,BIO,310,5,Undergraduate ,3,,8:00 am - 11:00 am,R,Shineman Center 212,Shineman Center ,212,Fall2016,Laboratory,Peter   Newell,30
Microbiology LAB,92766,BIO,310,6,Undergraduate ,3,,12:45 pm - 3:45 pm,R,Shineman Center 212,Marano Campus Center ,132,Fall2016,Laboratory,Peter   Newell,30
Genetics,90408,BIO,315,7,Undergraduate ,3,,11:10 am - 12:30 pm,TR,Marano Campus Center 132,Shineman Center ,208,Fall2016,Lecture,Pamela   Brannock,30
Laboratory in Genetics,90723,BIO,316,1,Undergraduate ,3,,1:50 pm - 4:50 pm,M,Shineman Center 208,Shineman Center ,208,Fall2016,Laboratory,Christina Isabella  Winterton,30
Laboratory in Genetics,90837,BIO,316,2,Undergraduate ,3,,5:20 pm - 8:20 pm,M,Shineman Center 208,Shineman Center ,208,Fall2016,Laboratory,Anthony L  Contento,30
Laboratory in Genetics,90838,BIO,316,3,Undergraduate ,3,,2:20 pm - 5:20 pm,T,Shineman Center 208,Shineman Center ,208,Fall2016,Laboratory,Poongodi   Geetha-Loganathan,30
Laboratory in Genetics,90839,BIO,316,4,Undergraduate ,3,,2:20 pm - 5:20 pm,R,Shineman Center 208,Shineman Center ,208,Fall2016,Laboratory,Susan   Hammerly,30
Laboratory in Genetics,90840,BIO,316,5,Undergraduate ,3,,5:45 pm - 8:45 pm,T,Shineman Center 208,Shineman Center ,208,Fall2016,Laboratory,Susan   Hammerly,30
Laboratory in Genetics,91306,BIO,316,6,Undergraduate ,3,,1:50 pm - 4:50 pm,W,Shineman Center 208,Shineman Center ,208,Fall2016,Laboratory,Susan   Hammerly,30
Laboratory in Genetics,92770,BIO,316,7,Undergraduate ,3,,9:10 am - 12:10 pm,W,Shineman Center 208,Shineman Center ,208,Fall2016,Laboratory,Pamela   Brannock,30
Laboratory in Genetics,92771,BIO,316,1,Undergraduate ,3,,5:45 pm - 8:45 pm,R,Shineman Center 208,Shineman Center ,172,Fall2016,Laboratory,Anthony L  Contento,30
Introductory Ecology,91174,BIO,320,2,Undergraduate ,3,,9:10 am - 10:05 am,MW,Shineman Center 172,Shineman Center ,301,Fall2016,Lecture,Michael   Schummer,30
Introductory Ecology Lab,91313,BIO,320,3,Undergraduate ,3,,2:20 pm - 5:20 pm,R,Shineman Center 301,Shineman Center ,301,Fall2016,Laboratory,Michael   Schummer,30
Introductory Ecology Lab,91715,BIO,320,4,Undergraduate ,3,,9:10 am - 12:10 pm,F,Shineman Center 301,Shineman Center ,448,Fall2016,Laboratory,Michael   Schummer,30
GIS in  Ecology/Conservation,92949,BIO,323,5,Undergraduate ,3,,2:20 pm - 5:20 pm,TR,Shineman Center 448,Shineman Center ,176,Fall2016,Lecture,Richard C  Back,30
Population Biology,92024,BIO,324,6,Undergraduate ,3,,9:35 am - 10:55 am,TR,Shineman Center 176,Park Hall ,314,Fall2016,Lecture,Maria   Sagot,30
The Plant Kingdom,90908,BIO,340,7,Undergraduate ,3,,10:20 am - 11:15 am,MW,Park Hall 314,Shineman Center ,301,Fall2016,Lecture,Jinyan   Guo,30
The Plant Kingdom Lab,92963,BIO,340,1,Undergraduate ,3,,2:20 pm - 5:20 pm,T,Shineman Center 301,Rice Creek ,123,Fall2016,Laboratory,Jinyan   Guo,30
Plant Ecology,92956,BIO,358,2,Undergraduate ,3,,2:20 pm - 4:50 pm,T,Rice Creek 123,Rice Creek ,119,Fall2016,Lecture,Kamal I  Mohamed,30
Plant Ecology Lab,92957,BIO,358,3,Undergraduate ,3,,2:20 pm - 4:50 pm,R,Rice Creek 119,Shineman Center ,178,Fall2016,Laboratory,Kamal I  Mohamed,30
Great Lakes Environ. Issues,92774,BIO,363,4,Undergraduate ,3,,8:00 am - 9:20 am,TR,Shineman Center 178,Shineman Center ,176,Fall2016,Lecture,C. Eric  Hellquist,30
The Animal Kingdom,91562,BIO,370,5,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Shineman Center 176,Shineman Center ,305,Fall2016,Lecture,Andrew   McElwain,30
The Animal Kingdom Lab,91563,BIO,370,6,Undergraduate ,3,,6:00 pm - 9:00 pm,T,Shineman Center 305,TBA,,Fall2016,Laboratory,Andrew   McElwain,30
Teach Assist Biological Scienc,92959,BIO,396,7,Undergraduate ,3,,TBA,TBA,TBA,Shineman Center ,178,Fall2016,Activity,Ashlee Elizabeth  Smith,30
Evolution,91179,BIO,425,1,Undergraduate ,3,,5:30 pm - 6:50 pm,MW,Shineman Center 178,Park Hall ,212,Fall2016,Lecture,Michael J  McDonald,30
Evolution,91181,BIO,425,2,Undergraduate ,3,,9:35 am - 10:55 am,TR,Park Hall 212,Shineman Center ,178,Fall2016,Lecture,Jinyan   Guo,30
Evolution,91003,BIO,425,3,Undergraduate ,3,,5:30 pm - 6:50 pm,TR,Shineman Center 178,Shineman Center ,178,Fall2016,Lecture,Michael J  McDonald,30
Evolution,91842,BIO,425,4,Undergraduate ,3,,11:10 am - 12:30 pm,TR,Shineman Center 178,Shineman Center ,178,Fall2016,Lecture,Susan   Hammerly,30
Conservation Biology,92023,BIO,460,5,Undergraduate ,3,,8:00 am - 8:55 am,MWF,Shineman Center 178,Rice Creek ,121,Fall2016,Lecture,Michael   Schummer,30
Research: Field Ecology,91713,BIO,492,6,Undergraduate ,3,,2:20 pm - 5:20 pm,T,Rice Creek 121,Shineman Center ,301,Fall2016,Lecture,C. Eric  Hellquist,30
Research: Genomics,90410,BIO,492,7,Undergraduate ,3,,9:35 am - 10:55 am,TR,Shineman Center 301,Shineman Center ,348,Fall2016,Lecture,Christopher H  Chandler,30
R:BIO Fungi-host Interactions,91004,BIO,492,1,Undergraduate ,3,,2:20 pm - 5:20 pm,R,Shineman Center 348,Shineman Center ,178,Fall2016,Activity,Sofia   Windstam,30
Evolution,91180,BIO,525,2,Graduate ,3,,5:30 pm - 6:50 pm,MW,Shineman Center 178,Park Hall ,212,Fall2016,Seminar,Michael J  McDonald,30
Evolution,91009,BIO,525,3,Graduate ,3,,9:35 am - 10:55 am,TR,Park Hall 212,Shineman Center ,178,Fall2016,Seminar,Jinyan   Guo,30
Evolution,91008,BIO,525,4,Graduate ,3,,5:30 pm - 6:50 pm,TR,Shineman Center 178,Shineman Center ,178,Fall2016,Seminar,Michael J  McDonald,30
Evolution,92029,BIO,525,5,Graduate ,3,,11:10 am - 12:30 pm,TR,Shineman Center 178,Rice Creek ,121,Fall2016,Seminar,David A  Dunn,30
Research: Field Ecology,91714,BIO,592,6,Graduate ,3,,2:20 pm - 5:20 pm,T,Rice Creek 121,Shineman Center ,301,Fall2016,Lecture,C. Eric  Hellquist,30
