Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,,,Term,Roomtype,Instructor,Capacity
Principles of Accounting I,92624,ACC,201,3,Undergraduate ,3,,1:50 pm - 2:45 pm,MWF,Rich Hall 223,Rich Hall ,223,Fall2016,Lecture,Susan   Wright,30
Principles of Accounting I,92625,ACC,201,4,Undergraduate ,3,,8:00 am - 8:55 am,M,Rich Hall 223,Rich Hall ,223,Fall2016,Laboratory,Sheneya   Wilson,30
Principles of Accounting I,92626,ACC,201,5,Undergraduate ,3,,3:00 pm - 3:55 pm,MWF,Rich Hall 223,Rich Hall ,223,Fall2016,Lecture,Susan   Wright,30
Principles of Accounting I,92627,ACC,201,6,Undergraduate ,3,,8:00 am - 8:55 am,W,Rich Hall 223,Rich Hall ,319,Fall2016,Laboratory,Emily N  Karszes,30
Principles of Accounting I,92628,ACC,201,7,Undergraduate ,3,,11:30 am - 12:25 pm,MWF,Rich Hall 319,Rich Hall ,319,Fall2016,Lecture,Laura Bea  Lamb,30
Principles of Accounting I,92631,ACC,201,1,Undergraduate ,3,,12:40 pm - 1:35 pm,M,Rich Hall 319,Rich Hall ,322,Fall2016,Laboratory,Lauren C  Ryan,30
Principles of Accounting I,92630,ACC,201,2,Undergraduate ,3,,10:20 am - 11:15 am,MWF,Rich Hall 322,Rich Hall ,322,Fall2016,Lecture,Laura Bea  Lamb,30
Principles of Accounting I,92629,ACC,201,3,Undergraduate ,3,,12:40 pm - 1:35 pm,M,Rich Hall 322,Rich Hall ,324,Fall2016,Laboratory,Amanda M  Lattimore,30
Principles of Accounting I,92632,ACC,201,4,Undergraduate ,3,,1:50 pm - 2:45 pm,MWF,Rich Hall 324,Rich Hall ,324,Fall2016,Lecture,Laura Bea  Lamb,30
Principles of Accounting I,92633,ACC,201,5,Undergraduate ,3,,12:40 pm - 1:35 pm,W,Rich Hall 324,Rich Hall ,221,Fall2016,Laboratory,Lauren C  Ryan,30
Principles of Accounting I,92634,ACC,201,6,Undergraduate ,3,,9:35 am - 10:55 am,TR,Rich Hall 221,Rich Hall ,323,Fall2016,Lecture,Victoria   Chiu,30
Principles of Accounting I LAB,92635,ACC,201,7,Undergraduate ,3,,12:40 pm - 1:35 pm,M,Rich Hall 323,Rich Hall ,320,Fall2016,Laboratory,Dylan R  Niewiemski,30
Principles of Accounting I,92636,ACC,201,1,Undergraduate ,3,,11:10 am - 12:30 pm,TR,Rich Hall 320,Rich Hall ,320,Fall2016,Lecture,Victoria   Chiu,30
Principles of Accounting I LAB,92637,ACC,201,2,Undergraduate ,3,,8:25 am - 9:20 am,T,Rich Hall 320,Rich Hall ,221,Fall2016,Laboratory,Dylan R  Niewiemski,30
Principles of Accounting I,92638,ACC,201,3,Undergraduate ,3,,2:20 pm - 3:40 pm,TR,Rich Hall 221,Rich Hall ,221,Fall2016,Lecture,Victoria   Chiu,30
Principles of Accounting I LAB,92639,ACC,201,4,Undergraduate ,3,,12:40 pm - 1:35 pm,W,Rich Hall 221,Rich Hall ,223,Fall2016,Laboratory,Amanda M  Lattimore,30
Principles Of Accounting II,92618,ACC,202,5,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Rich Hall 223,Rich Hall ,223,Fall2016,Lecture,Heather   Losi,30
Principles Accounting II Lab,90979,ACC,202,6,Undergraduate ,3,,8:25 am - 9:20 am,T,Rich Hall 223,Rich Hall ,223,Fall2016,Laboratory,Cuifen   Zhuang,30
Principles Of Accounting II,92619,ACC,202,7,Undergraduate ,3,,11:10 am - 12:30 pm,TR,Rich Hall 223,Rich Hall ,223,Fall2016,Lecture,Heather   Losi,30
Principles Accounting II Lab,91190,ACC,202,1,Undergraduate ,3,,8:25 am - 9:20 am,R,Rich Hall 223,Rich Hall ,223,Fall2016,Laboratory,Guannan   Zhang,30
Principles Of Accounting II,92620,ACC,202,2,Undergraduate ,3,,2:20 pm - 3:40 pm,TR,Rich Hall 223,Rich Hall ,221,Fall2016,Lecture,Heather   Losi,30
Principles Of Accounting IILab,91310,ACC,202,3,Undergraduate ,3,,8:25 am - 9:20 am,T,Rich Hall 221,Rich Hall ,319,Fall2016,Laboratory,Guannan   Zhang,30
Principles Of Accounting II,92622,ACC,202,4,Undergraduate ,3,,11:10 am - 12:30 pm,TR,Rich Hall 319,Rich Hall ,320,Fall2016,Lecture,Eric M  Ramon,30
Principles Of Accounting IILab,91510,ACC,202,5,Undergraduate ,3,,8:25 am - 9:20 am,R,Rich Hall 320,Rich Hall ,223,Fall2016,Laboratory,Derek Matthew  Holden,30
Principles Of Accounting II,92621,ACC,202,6,Undergraduate ,3,,9:35 am - 10:55 am,TR,Rich Hall 223,Rich Hall ,221,Fall2016,Lecture,Heather   Losi,30
Principles Of Accounting IILab,91800,ACC,202,7,Undergraduate ,3,,8:25 am - 9:20 am,R,Rich Hall 221,Rich Hall ,223,Fall2016,Laboratory,Bilikiz Mopelola  Adebayo,30
Intermediate Accounting I,90038,ACC,301,1,Undergraduate ,3,,11:30 am - 12:25 pm,MWF,Rich Hall 223,Rich Hall ,223,Fall2016,Lecture,Andrea Maria Anastasia  Pagano,30
Intermediate Accounting I Lab,90961,ACC,301,2,Undergraduate ,3,,12:40 pm - 1:35 pm,M,Rich Hall 223,Rich Hall ,323,Fall2016,Laboratory,Lindsay K  DiGiacomo,30
